modelo,complexidade_params,auc_cv_mean,auc_cv_std,auc_teste,ks_teste,tempo_treino_s,tempo_infer_ms_registro
Regressao Logistica,61,0.764910052910053,0.03876504630440651,0.8070095238095238,0.5352380952380953,0.0983909999486059,0.07635960076004267
KNN (k=15),750,0.7426878306878307,0.03979835515563749,0.7508952380952382,0.3961904761904762,0.04499780014157295,0.18112359941005707
Arvore de Decisao,27,0.7620740740740741,0.014642627481793062,0.6688761904761905,0.28952380952380957,0.046890800120308995,0.09958400018513203
Random Forest (300 arvores),17641,0.7881481481481482,0.016137479399541386,0.7916190476190476,0.45142857142857146,1.528290200047195,0.8067248007282615
XGBoost (300 rounds),1200,0.7654603174603174,0.026783785808166524,0.8003047619047619,0.4914285714285715,0.8192872998770326,0.15005959942936897
